,title,subtitle,property_type_left,property_size,bedrooms,bathrooms,price,location,reference,trakheesi_permit,listed,completion,show_property_floor_plan,trade_name,issue_date,property_number,property_name,property_type_right,sub_location_1,sub_location_2,sub_location_3,sorensen_score,jaccard_score
10,Apartment for Sale in MAG 218 - Dubai Marina,Investor Deal | Spacious 1 Bed | MAG 218,Apartment,900 sqft / 84 sqm,1,2,760000.0,MAG 218 3.7 /59 Reviews Dubai - Dubai Marina,BAA-S-1557,7127080700,6 months ago,Ready,,BROKERS,18012020,1004,MAG218 218,Unit,dubai marina,mag 218,,0.33,0.2
11,Villa for Sale in Bayside Residence - Dubai Marina,G+4 Spacious Villa  - Private Elevator -Vacant,Villa,8427 sqft / 783 sqm,7 + Maid,7+,7950000.0,Bayside Residence Dubai - Dubai Marina,AZR-S-1310,7126734300,6 hours ago,Ready,,A Z U R PROPERTIES,10052020,,BAYSIDE,Unit,dubai marina,bayside residence,,0.4,0.25
12,Apartment for Sale in The Royal Oceanic - Oceanic,Amazing sea/JBR View with a very Large terrace *,Apartment,792 sqft / 74 sqm,1,2,700000.0,The Royal Oceanic Dubai - Dubai Marina - Oceanic,diamondcity-2151638,1038856767,7 hours ago,,,DIAMOND CITY REAL ESTATE BROKER,3092020,,ROYAL OCEANIC1 1,Unit,dubai marina,oceanic,the royal oceanic,0.25,0.14
13,Apartment for Sale in Princess Tower - Dubai Marina,LUXURIOUS LIFESTYLE LIVING & IDEAL INVESTMENT,Apartment,960 sqft / 89 sqm,1,2,800000.0,Princess Tower 3.8 /518 Reviews Dubai - Dubai Marina,EH-Z-PRINTPSVSALE,7146205510,11 hours ago,,,EAST HOMES REALESTATE BROKERS,6092020,,PRINCESS TOWER,Unit,dubai marina,princess tower,,0.67,0.5
14,Penthouse for Sale in Princess Tower - Dubai Marina,Half Floor Penthouse | Stunning Sea View,Penthouse,6146 sqft / 571 sqm,5 + Maid,6,4799999.0,Princess Tower 3.8 /518 Reviews Dubai - Dubai Marina,ES-13398,7147382230,7 hours ago,Ready,,ESPACE REAL ESTATE BROKER,19052020,,PRINCESS TOWER,Unit,dubai marina,princess tower,,0.67,0.5
15,Apartment for Sale in Jumeirah Living Marina Gate - Marina Gate,3 years post Hanover payment plan,Apartment,1437 sqft / 134 sqm,2,3,2570000.0,Jumeirah Living Marina Gate Dubai - Dubai Marina - Marina Gate,alhilal-2151556,7148034457,7 hours ago,,,ALI ALBREIKI ONE PERSON COMPANY LLC,15062020,,Jumeirah Living Marina Gate,Unit,dubai marina,marina gate,jumeirah living marina gate,0.89,0.8
16,Apartment for Sale in Marina Diamond 2 - Marina Diamonds,Fully Furnished I Vacant Unit I Marina Diamond 2,Apartment,572 sqft / 53 sqm,1,1,540000.0,Marina Diamond 2 3.3 /56 Reviews Dubai - Dubai Marina - Marina Diamonds,visionary-2151467,7116361700,7 hours ago,Ready,,HAMRA PROPERTIES,30082020,,MARINA DIAMOND2 MARINA DIAMOND2,Unit,dubai marina,marina diamonds,marina diamond 2,0.29,0.17
17,Apartment for Sale in Silverene Tower B - Silverene,VACANT | Partial Marina | Low floor |Unfurnished,Apartment,1067 sqft / 99 sqm,2,2,1535000.0,Silverene Tower B 4.6 /59 Reviews Dubai - Dubai Marina - Silverene,AP334739,1574965808,7 hours ago,Ready,,BETTER HOMES LLC,12042020,,Silverene Towers B,Building,dubai marina,silverene,silverene tower b,0.5,0.33
18,Apartment for Sale in Al Majara 2 - Al Majara,Spacious 2 BDR + study | Marina View | High Floor,Apartment,1320 sqft / 123 sqm,2,3,1650000.0,Al Majara 2 4.1 /55 Reviews Dubai - Dubai Marina - Al Majara,TNM-S-1435,7115883900,7 hours ago,Ready,,LIMES WOOD REAL ESTATE BROKERS,14062020,,Al Majara 2 2,Unit,dubai marina,al majara,al majara 2,0.75,0.6
19,Apartment for Sale in Marina Heights - Dubai Marina,Biggest 3 bedroom | with Terrace | Close to Metro,Apartment,2174 sqft / 202 sqm,3,4,1875000.0,Marina Heights 4.5 /58 Reviews Dubai - Dubai Marina,propertyavenue-2151558,7115108300,7 hours ago,Ready,,BROKERAGE LLC,21112019,,MARINA HEIGHTS 1 1,Unit,dubai marina,marina heights,,0.67,0.5
20,Apartment for Sale in Marina Diamond 1 - Marina Diamonds,Great Deal Offer I Studio I Marina Diamond 1,Apartment,374 sqft / 35 sqm,1,1,460000.0,Marina Diamond 1 3.8 /54 Reviews Dubai - Dubai Marina - Marina Diamonds,visionary-2151468,7116083700,8 hours ago,Ready,,HAMRA PROPERTIES,30082020,,MARINA DIAMOND A A,Unit,dubai marina,marina diamonds,marina diamond 1,0.5,0.33
21,Apartment for Sale in Botanica Tower - Dubai Marina,Great Layout | Sea View | Tenanted,Apartment,858 sqft / 80 sqm,1,2,850000.0,Botanica Tower 3.7 /53 Reviews Dubai - Dubai Marina,blp-2151010,7144298940,8 hours ago,Ready,,MORGAN S INTERNATIONAL REALTY,4092019,911,BOTANICA TOWER1 1,Unit,dubai marina,botanica tower,,0.29,0.17
22,Apartment for Sale in Botanica Tower - Dubai Marina,EXCLUSIVE | 1BR SEA & POOL VIEW | Mid Floor,Apartment,858 sqft / 80 sqm,1,2,850000.0,Botanica Tower 3.7 /53 Reviews Dubai - Dubai Marina,mir-2078197,7144298940,1 month ago,Ready,,MORGAN S INTERNATIONAL REALTY,4092019,911,BOTANICA TOWER1 1,Unit,dubai marina,botanica tower,,0.29,0.17
23,Apartment for Sale in Dorra Bay - Dubai Marina,Unfurnished|Amazing location|Marina View,Apartment,685 sqft / 64 sqm,1,2,800000.0,Dorra Bay 3.6 /57 Reviews Dubai - Dubai Marina,dreamcatcher-2151109,6596331000,8 hours ago,Ready,,H M S HOMES REAL ESTATE,30062020,,,Land,dubai marina,dorra bay,,0.0,0.0
24,Apartment for Sale in Shemara Tower - Marina Promenade,LARGEST LAYOUT / Spacious / Ample Storage,Apartment,1076 sqft / 100 sqm,1,2,1300000.0,Shemara Tower 3.9 /57 Reviews Dubai - Dubai Marina - Marina Promenade,SALE014212,6596331000,14 days ago,,,H M S HOMES REAL ESTATE,30062020,,,Land,dubai marina,marina promenade,shemara tower,0.0,0.0
25,Apartment for Sale in Dream Tower 1 - Dream Towers,Hot Offer | 2 Bedrooms | Near Metro | Nice View,Apartment,690 sqft / 64 sqm,1,2,775000.0,Dream Tower 1 3.8 /56 Reviews Dubai - Dubai Marina - Dream Towers,RC-S-16060,7125867300,8 hours ago,Ready,,FUTURE PLAN REAL ESTATE,17062020,1905,DREAM TOWER,Unit,dubai marina,dream towers,dream tower 1,0.5,0.33
26,Apartment for Sale in Dream Tower 1 - Dream Towers,One Bedroom - Ready to move in - Next to Metro,Apartment,690 sqft / 64 sqm,1,2,740000.0,Dream Tower 1 3.8 /56 Reviews Dubai - Dubai Marina - Dream Towers,UPS-0907,7125867300,5 days ago,Ready,,FUTURE PLAN REAL ESTATE,17062020,1905,DREAM TOWER,Unit,dubai marina,dream towers,dream tower 1,0.5,0.33
27,Apartment for Sale in Dream Towers - Dubai Marina,Massive 1BR I Dream Tower I Investment Deal!,Apartment,690 sqft / 64 sqm,1,2,775000.0,Dream Towers Dubai - Dubai Marina,advice-2116138,7125867300,5 days ago,,,FUTURE PLAN REAL ESTATE,17062020,1905,DREAM TOWER,Unit,dubai marina,dream towers,,0.33,0.2
28,Apartment for Sale in Dream Tower 1 - Dream Towers,Attractive price -Good ROI - Partial Marina View,Apartment,690 sqft / 64 sqm,1,2,775000.0,Dream Tower 1 3.8 /56 Reviews Dubai - Dubai Marina - Dream Towers,stre-2109292,7125867300,12 days ago,,,FUTURE PLAN REAL ESTATE,17062020,1905,DREAM TOWER,Unit,dubai marina,dream towers,dream tower 1,0.5,0.33
29,Apartment for Sale in Dream Tower 1 - Dream Towers,1BR |Near Metro Station| Dream tower|Dubai Marina,Apartment,691 sqft / 64 sqm,1,1,775000.0,Dream Tower 1 3.8 /56 Reviews Dubai - Dubai Marina - Dream Towers,FPRES1035,7125867300,1 month ago,,,FUTURE PLAN REAL ESTATE,17062020,1905,DREAM TOWER,Unit,dubai marina,dream towers,dream tower 1,0.5,0.33
30,Apartment for Sale in Marina Gate 2 - Marina Gate,Panoramic Views | Ready to Move In | Best Priced |,Apartment,1814 sqft / 169 sqm,3,4,3115000.0,Marina Gate 2 Dubai - Dubai Marina - Marina Gate,AP-S-22348,6588823000,8 hours ago,Ready,,NOSHEEN ATTAI ONE PERSON COMPANY LLC,23052020,,,Land,dubai marina,marina gate,marina gate 2,0.0,0.0
31,Apartment for Sale in Al Majara 1 - Al Majara,Bright and Spacious | 1 Bedroom | Furnished,Apartment,841 sqft / 78 sqm,1,2,1000000.0,Al Majara 1 Dubai - Dubai Marina - Al Majara,AQ-S-19-01696,7116118200,8 hours ago,,,AQUA PROPERTIES,27052020,,Al Majara 1 1,Unit,dubai marina,al majara,al majara 1,0.75,0.6
32,Apartment for Sale in Elite Residence - Dubai Marina,Luxury 2BR | Partial Sea View | High floor,Apartment,1329 sqft / 123 sqm,2,3,1095000.0,Elite Residence 4.0 /520 Reviews Dubai - Dubai Marina,BS-2151430,1582185398,8 hours ago,Ready,,BRICKSTONE REAL ESTATE L L C,16062020,227,ELITE RESIDENCE ELITE RESIDENCE TAMEER HOLDING INVESTMENT,,dubai marina,elite residence,,0.44,0.29
33,Apartment for Sale in Elite Residence - Dubai Marina,Luxury 2BR | Partial Sea View | High floor,Apartment,1329 sqft / 123 sqm,2,3,1249000.0,Elite Residence 4.0 /520 Reviews Dubai - Dubai Marina,BS-2098516,1582185398,20 days ago,Ready,,BRICKSTONE REAL ESTATE L L C,16062020,227,ELITE RESIDENCE ELITE RESIDENCE TAMEER HOLDING INVESTMENT,,dubai marina,elite residence,,0.44,0.29
34,Penthouse for Sale in Elite Residence - Dubai Marina,Luxurious 4-BR penthouse | Full sea views | Elite,Penthouse,3172 sqft / 295 sqm,4 + Maid,6,3750000.0,Elite Residence 4.0 /520 Reviews Dubai - Dubai Marina,BS-2091679,1582185398,20 days ago,Ready,,BRICKSTONE REAL ESTATE L L C,16062020,227,ELITE RESIDENCE ELITE RESIDENCE TAMEER HOLDING INVESTMENT,,dubai marina,elite residence,,0.44,0.29
35,Duplex for Sale in Azure - Dubai Marina,Exceptionally Renovated 3 Bedroom Duplex,Duplex,2381 sqft / 221 sqm,3,5,2500000.0,Azure Dubai - Dubai Marina,GS-S-29423,6586926000,8 hours ago,Ready,,LXT REAL ESTATE BROKER LLC,12022020,,,Land,dubai marina,azure,,0.0,0.0
36,Apartment for Sale in Emirates Crown - Dubai Marina,Vacant on Transfer | 3BR+Maids | Full Marina Views,Apartment,3890 sqft / 361 sqm,3 + Maid,5,2950000.0,Emirates Crown 4.6 /513 Reviews Dubai - Dubai Marina,cip-2123756,972333177,8 hours ago,,,CANARY ISLAND PROPERTIES,15122019,,EMIRATES CROWN TOWER,Unit,dubai marina,emirates crown,,0.57,0.4
37,Apartment for Sale in Marina Diamond 6 - Marina Diamonds,Marina View | Furnished 1 Bedrooom on Low Floor,Apartment,708 sqft / 66 sqm,1,1,650000.0,Marina Diamond 6 3.9 /56 Reviews Dubai - Dubai Marina - Marina Diamonds,BS-2151400,6714963100,8 hours ago,,,BETTER HOMES LLC,6052020,,MARINA DIAMOND 6 A A 6,Building,dubai marina,marina diamonds,marina diamond 6,0.67,0.5
38,Apartment for Sale in Marina Diamond 6 - Marina Diamonds,Rented | High ROI | Best Location | 1BR,Apartment,714 sqft / 66 sqm,1,2,600000.0,Marina Diamond 6 3.9 /56 Reviews Dubai - Dubai Marina - Marina Diamonds,BS-2126774,6714963100,13 days ago,,,BETTER HOMES LLC,6052020,,MARINA DIAMOND 6 A A 6,Building,dubai marina,marina diamonds,marina diamond 6,0.67,0.5
39,Apartment for Sale in Marina Diamond 3 - Marina Diamonds,Furnished Studio / Marina View / Next to Metro,Apartment,430 sqft / 40 sqm,studio + Maid,1,430000.0,Marina Diamond 3 3.7 /55 Reviews Dubai - Dubai Marina - Marina Diamonds,OBG-S-17021,7117211000,9 hours ago,Ready,,O B G REAL ESTATE BROKER,11032020,,MARINA DIAMOND3 3,Unit,dubai marina,marina diamonds,marina diamond 3,0.5,0.33
40,Apartment for Sale in Murjan Tower - Emaar 6 Towers,1BR + Study | Spacious Layout | Breathtaking view,Apartment,1525 sqft / 142 sqm,1,2,1500000.0,Murjan Tower 4.4 /52 Reviews Dubai - Dubai Marina - Emaar 6 Towers,UPS-0987,7115984000,9 hours ago,Ready,,UNIQUE PROPERTIES BROKER,4082020,,AL Murjan,Unit,dubai marina,emaar 6 towers,murjan tower,0.22,0.12
41,Apartment for Sale in Yacht Bay - Dubai Marina,Spacious Unit | Mid Floor | Vacant,Apartment,800 sqft / 74 sqm,1,2,700000.0,Yacht Bay 4.4 /56 Reviews Dubai - Dubai Marina,AQ-S-19-01694,7118528200,9 hours ago,,,AQUA PROPERTIES,27052020,,YACHT BAY,Unit,dubai marina,yacht bay,,0.67,0.5
42,Apartment for Sale in The Royal Oceanic - Oceanic,Investment Deal 1 BR Partial Sea View,Apartment,792 sqft / 74 sqm,1,2,700000.0,The Royal Oceanic Dubai - Dubai Marina - Oceanic,mir-6301NI,7126107600,9 hours ago,Ready,,MORGAN S INTERNATIONAL REALTY,6092020,,ROYAL OCEANIC1 1,Unit,dubai marina,oceanic,the royal oceanic,0.25,0.14
43,Apartment for Sale in 5242 - Dubai Marina,Full Sea View - Genuine Resale - Below O.P,Apartment,1176 sqft / 109 sqm,2,2,1850000.0,5242 Dubai - Dubai Marina,LXF-S-2000,7117763292,9 hours ago,Off-plan,,LUXFOLIO REAL ESTATE BROKERS LLC,7062020,,No.9 No.9,Unit,dubai marina,5242,,0.0,0.0
44,Apartment for Sale in 5242 - Dubai Marina,Full Sea View - Genuine Resale - Below O.P,Apartment,1780 sqft / 165 sqm,3,4,2800000.0,5242 Dubai - Dubai Marina,LXF-S-2001,7117763292,9 hours ago,Off-plan,,LUXFOLIO REAL ESTATE BROKERS LLC,7062020,,No.9 No.9,Unit,dubai marina,5242,,0.0,0.0
45,Apartment for Sale in No.9 - Dubai Marina,2 Bedroom - Marina View - Spacious,Apartment,1203 sqft / 112 sqm,2,3,1540000.0,No.9 Dubai - Dubai Marina,LXF-S-2004,7117763292,9 hours ago,Ready,,LUXFOLIO REAL ESTATE BROKERS LLC,7062020,,No.9 No.9,Unit,dubai marina,no.9,,0.5,0.33
46,Apartment for Sale in Trident Bayside - Dubai Marina,Spacious 2 Beds with Marina View I Trident Bayside,Apartment,1579 sqft / 147 sqm,2,3,1225000.0,Trident Bayside 4.5 /54 Reviews Dubai - Dubai Marina,aeontrisl-2150651,7126731400,10 hours ago,Ready,,AEON TRISL REAL ESTATE BROKER LLC,18062020,,BAYSIDE,Unit,dubai marina,trident bayside,,0.4,0.25
47,Apartment for Sale in Manchester Tower - Dubai Marina,Best Deal | Nicely Furnished | Marina View,Apartment,556 sqft / 52 sqm,1,1,525000.0,Manchester Tower 3.0 /58 Reviews Dubai - Dubai Marina,LXF-S-2002,7118647400,10 hours ago,Ready,,LUXFOLIO REAL ESTATE BROKERS LLC,7062020,601,LA RESIDENCIA DEL MAR LA RESIDENCIA DEL MAR,Unit,dubai marina,manchester tower,,0.0,0.0
48,Apartment for Sale in La Residencia Del Mar - Dubai Marina,690AED PSQFT | Quick Sale | Exclusive,Apartment,2352 sqft / 219 sqm,2,2,1625000.0,La Residencia Del Mar Dubai - Dubai Marina,LXF-S-1915,7118647400,6 days ago,Ready,,LUXFOLIO REAL ESTATE BROKERS LLC,7062020,601,LA RESIDENCIA DEL MAR LA RESIDENCIA DEL MAR,Unit,dubai marina,la residencia del mar,,0.8,0.67
49,Apartment for Sale in Marina Gate 1 - Marina Gate,Reduced Price I Vacant I Marina View,Apartment,1347 sqft / 125 sqm,2,3,1995000.0,Marina Gate 1 3.3 /54 Reviews Dubai - Dubai Marina - Marina Gate,grandestate-2151277,491671193,10 hours ago,,,AL KHAIL REAL ESTATE BROKER,17112019,1505,GHALIA GHALIA,,dubai marina,marina gate,marina gate 1,0.0,0.0
50,Apartment for Sale in Marina Gate 2 - Marina Gate,Full Marina View | High Floor | Brand New,Apartment,1940 sqft / 180 sqm,3,4,3495000.0,Marina Gate 2 Dubai - Dubai Marina - Marina Gate,grandestate-2105725,491671193,15 days ago,Ready,,AL KHAIL REAL ESTATE BROKER,17112019,1505,GHALIA GHALIA,,dubai marina,marina gate,marina gate 2,0.0,0.0
51,Apartment for Sale in Sulafa Tower - Dubai Marina,Exclusive I Partial Sea View I Vacant in March,Apartment,1919 sqft / 178 sqm,3,4,1200000.0,Sulafa Tower 3.3 /528 Reviews Dubai - Dubai Marina,AP320208,1845254889,10 hours ago,Ready,,BETTER HOMES LLC,21052020,,Sulafa Tower,Building,dubai marina,sulafa tower,,0.67,0.5
52,Apartment for Sale in Silverene Tower A - Silverene,Exceptional 1 BR with Pool View,Apartment,600 sqft / 56 sqm,1,2,950000.0,Silverene Tower A 4.4 /54 Reviews Dubai - Dubai Marina - Silverene,redstone-2151170,30909171,10 hours ago,Ready,,RED STONE REAL ESTATE BROKER,4122019,3104,Silverene Towers A,Unit,dubai marina,silverene,silverene tower a,0.5,0.33
53,Apartment for Sale in Silverene Tower A - Silverene,Exceptional 1 BR with Pool View,Apartment,600 sqft / 56 sqm,1,2,950000.0,Silverene Tower A 4.4 /54 Reviews Dubai - Dubai Marina - Silverene,redstone-1937089,30909171,5 months ago,Ready,,RED STONE REAL ESTATE BROKER,4122019,3104,Silverene Towers A,Unit,dubai marina,silverene,silverene tower a,0.5,0.33
54,Apartment for Sale in Silverene Tower A - Silverene,Splendid 1 BR with Pool and City View,Apartment,609 sqft / 57 sqm,1,2,900000.0,Silverene Tower A 4.4 /54 Reviews Dubai - Dubai Marina - Silverene,redstone-2151173,1650702917,10 hours ago,Ready,,RED STONE REAL ESTATE BROKER,4122019,3103,Silverene Towers A,Unit,dubai marina,silverene,silverene tower a,0.5,0.33
55,Apartment for Sale in Silverene Tower A - Silverene,Splendid 1 BR with Pool and City View,Apartment,609 sqft / 57 sqm,1,2,900000.0,Silverene Tower A 4.4 /54 Reviews Dubai - Dubai Marina - Silverene,redstone-1936782,1650702917,5 months ago,Ready,,RED STONE REAL ESTATE BROKER,4122019,3103,Silverene Towers A,Unit,dubai marina,silverene,silverene tower a,0.5,0.33
56,Apartment for Sale in Marina Crown - Dubai Marina,A Must See ! | 3 BR+M | Full Sea View | Vacant Now,Apartment,2173 sqft / 202 sqm,3 + Maid,4,2700000.0,Marina Crown 2.7 /55 Reviews Dubai - Dubai Marina,AP-S-22347,1890026203,11 hours ago,Ready,,ASTON PEARL REAL ESTATE BROKER,23022020,1,MARINA CROWN TOWER,Building,dubai marina,marina crown,,0.67,0.5
57,Apartment for Sale in Marina Crown - Dubai Marina,A Must See ! | 3 BR+M | Full Sea View | Vacant Now,Apartment,2173 sqft / 202 sqm,3 + Maid,4,2700000.0,Marina Crown 2.7 /55 Reviews Dubai - Dubai Marina,AP-S-22161,1890026203,1 month ago,Ready,,ASTON PEARL REAL ESTATE BROKER,23022020,1,MARINA CROWN TOWER,Building,dubai marina,marina crown,,0.67,0.5
58,Apartment for Sale in Trident Bayside - Dubai Marina,Full Marina and Sea View || 3BR || Trident Bayside,Apartment,2328 sqft / 216 sqm,3,4,2500000.0,Trident Bayside 4.5 /54 Reviews Dubai - Dubai Marina,AP-S-22346,6726680700,11 hours ago,Ready,,BETTER HOMES LLC,6052020,1,BAYSIDE,Building,dubai marina,trident bayside,,0.4,0.25
59,Villa for Sale in Trident Bayside - Dubai Marina,Marina Villa | Vacant | Private Elevator |Spacious,Villa,8427 sqft / 783 sqm,7 + Maid,7,7950000.0,Trident Bayside 4.5 /54 Reviews Dubai - Dubai Marina,VI234535,6726680700,1 month ago,Ready,,BETTER HOMES LLC,6052020,1,BAYSIDE,Building,dubai marina,trident bayside,,0.4,0.25
60,Villa for Sale in Trident Bayside - Dubai Marina,Marina Villa |Vacant | Private Elevator | Spacious,Villa,7172 sqft / 666 sqm,5 + Maid,5,6460000.0,Trident Bayside 4.5 /54 Reviews Dubai - Dubai Marina,VI229254,6726680700,1 month ago,Ready,,BETTER HOMES LLC,6052020,1,BAYSIDE,Building,dubai marina,trident bayside,,0.4,0.25
61,Apartment for Sale in Princess Tower - Dubai Marina,Exclusive| 2 BR Apartment| High Floor| Rented Unit,Apartment,1305 sqft / 121 sqm,2,2,1000000.0,Princess Tower 3.8 /518 Reviews Dubai - Dubai Marina,AP-S-22342,6746013020,11 hours ago,Ready,,PROVIDENT REAL ESTATE BROKER LLC,22072020,1,PRINCESS TOWER,Building,dubai marina,princess tower,,0.67,0.5
62,Apartment for Sale in Princess Tower - Dubai Marina,Spacious 3 BR with Balcony | Vacant Now | Sea View,Apartment,2006 sqft / 186 sqm,3,4,1650000.0,Princess Tower 3.8 /518 Reviews Dubai - Dubai Marina,AP-S-22316,6746013020,14 days ago,Ready,,PROVIDENT REAL ESTATE BROKER LLC,22072020,1,PRINCESS TOWER,Building,dubai marina,princess tower,,0.67,0.5
63,Apartment for Sale in Princess Tower - Dubai Marina,EXCLUSIVE - 2 Bedroom - Rented Apartment - High Floor,Apartment,1305 sqft / 121 sqm,2,2,1000000.0,Princess Tower 3.8 /518 Reviews Dubai - Dubai Marina,AP-S-22312,6746013020,36 minutes ago,Ready,,PROVIDENT REAL ESTATE BROKER LLC,22072020,1,PRINCESS TOWER,Building,dubai marina,princess tower,,0.67,0.5
64,Apartment for Sale in Princess Tower - Dubai Marina,EXCLUSIVE - 2 Bedroom - Rented Apartment - High Floor,Apartment,1305 sqft / 121 sqm,2,2,1050000.0,Princess Tower 3.8 /518 Reviews Dubai - Dubai Marina,AP-S-22056,6746013020,2 months ago,Ready,,PROVIDENT REAL ESTATE BROKER LLC,22072020,1,PRINCESS TOWER,Building,dubai marina,princess tower,,0.67,0.5
65,Apartment for Sale in Princess Tower - Dubai Marina,Sea View | Unfurnished 2BR | On High Floor,Apartment,1305 sqft / 121 sqm,2,2,990000.0,Princess Tower 3.8 /518 Reviews Dubai - Dubai Marina,AP-S-22097,6746013020,2 months ago,Ready,,PROVIDENT REAL ESTATE BROKER LLC,22072020,1,PRINCESS TOWER,Building,dubai marina,princess tower,,0.67,0.5
66,Apartment for Sale in Princess Tower - Dubai Marina,Spacious 3BR Apartment| Full Sea View | Vacant Now,Apartment,1999 sqft / 186 sqm,3,4,1700000.0,Princess Tower 3.8 /518 Reviews Dubai - Dubai Marina,AP-SA-20988,6746013020,2 months ago,Ready,,PROVIDENT REAL ESTATE BROKER LLC,22072020,1,PRINCESS TOWER,Building,dubai marina,princess tower,,0.67,0.5
67,Apartment for Sale in Silverene Tower A - Silverene,Full Marina Views | Vacant | Two Bedrooms,Apartment,1066 sqft / 99 sqm,2,2,1299999.0,Silverene Tower A 4.4 /54 Reviews Dubai - Dubai Marina - Silverene,DUB206634,7152888420,12 hours ago,Ready,,ESTATE BROKERS LLC,11062020,,Silverene Towers A,Unit,dubai marina,silverene,silverene tower a,0.5,0.33
68,Apartment for Sale in 5242 - Dubai Marina,Luxurious apartment | High floor | Great View,Apartment,1806 sqft / 168 sqm,3,4,3100000.0,5242 Dubai - Dubai Marina,BPV-5242-00016,7127161500,12 hours ago,,,BLOOMBERG PROPERTIES,10092020,,PALLADIUM,Unit,dubai marina,5242,,0.0,0.0
